epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,171.873,0.89816,0.5825,1.10084,0.70473,0.61481,0.67914,0.37217,1.74037,1.45577,1.75432,0.0002774,0.0002774,0.0002774
89,173.895,0.91417,0.59699,1.11063,0.72533,0.57778,0.68539,0.37018,1.75995,1.44475,1.76701,0.0002576,0.0002576,0.0002576
90,175.805,0.90099,0.59163,1.09666,0.74946,0.58519,0.69963,0.3886,1.76826,1.35153,1.78615,0.0002378,0.0002378,0.0002378
91,180.095,0.87767,0.58671,1.08609,0.69736,0.64444,0.69406,0.37139,1.78491,1.33561,1.80346,0.000218,0.000218,0.000218
92,181.982,0.85047,0.5334,1.07809,0.74305,0.59978,0.68872,0.37735,1.76907,1.33996,1.77093,0.0001982,0.0001982,0.0001982
93,183.833,0.84001,0.5014,1.06451,0.68391,0.66667,0.70838,0.37752,1.74771,1.27162,1.76057,0.0001784,0.0001784,0.0001784
94,185.674,0.80623,0.47443,1.03748,0.72648,0.68148,0.70335,0.37433,1.74241,1.28725,1.78079,0.0001586,0.0001586,0.0001586
95,187.552,0.78684,0.4672,1.02268,0.76368,0.62239,0.71281,0.37837,1.74599,1.27587,1.77589,0.0001388,0.0001388,0.0001388
96,189.574,0.79697,0.45509,1.03425,0.81911,0.57778,0.71418,0.3777,1.738,1.31515,1.76343,0.000119,0.000119,0.000119
97,191.507,0.77566,0.45246,1.01105,0.72556,0.62669,0.71203,0.38506,1.73573,1.35552,1.7557,9.92e-05,9.92e-05,9.92e-05
98,193.492,0.78088,0.4426,1.02825,0.73785,0.63704,0.71958,0.39217,1.74936,1.36118,1.76005,7.94e-05,7.94e-05,7.94e-05
99,195.562,0.74055,0.43374,1.01363,0.74293,0.66667,0.73317,0.40022,1.75645,1.34721,1.76038,5.96e-05,5.96e-05,5.96e-05
100,197.485,0.76034,0.43834,1.03249,0.742,0.66667,0.7293,0.4063,1.74856,1.33648,1.75113,3.98e-05,3.98e-05,3.98e-05
